"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-09-08 17:18:58",1757351938785,"obnlbnk-rho.vercel.app/api/rates","GET","",-1,"9mn6t-1757351938714-8813e0816f28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","obnlbnk-rho.vercel.app","obnlbnk-rho.vercel.app","dpl_6uWuWE4wNZF3rzjwo9VWJ7npJP7M",-1,"iad1",-1,-1,"🚀 [VERCEL] GET /api/rates","prj_j3QAlrxy8W73BKX1wxdpS3jpu14W","","","01K4N5D2PNA2JGMR6AY310756F","",-1
"2025-09-08 17:18:58",1757351938773,"obnlbnk-rho.vercel.app/api/rates","GET","",200,"9mn6t-1757351938714-8813e0816f28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","obnlbnk-rho.vercel.app","obnlbnk-rho.vercel.app","dpl_6uWuWE4wNZF3rzjwo9VWJ7npJP7M",3,"iad1",97,2048,"","prj_j3QAlrxy8W73BKX1wxdpS3jpu14W","","","01K4N5D2PNA2JGMR6AY310756F","Fma8MLjfbKPC",1
"2025-09-08 17:18:58",1757351938454,"obnlbnk-rho.vercel.app/api/rates","GET","",-1,"z9d7b-1757351938381-25a0724e76c4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","obnlbnk-rho.vercel.app","obnlbnk-rho.vercel.app","dpl_6uWuWE4wNZF3rzjwo9VWJ7npJP7M",-1,"iad1",-1,-1,"💱 [VERCEL] Exchange rates request","prj_j3QAlrxy8W73BKX1wxdpS3jpu14W","","","01K4N5D2C81C7HA7F3ABF51H8D","",-1
"2025-09-08 17:18:58",1757351938454,"obnlbnk-rho.vercel.app/api/rates","GET","",-1,"z9d7b-1757351938381-25a0724e76c4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","obnlbnk-rho.vercel.app","obnlbnk-rho.vercel.app","dpl_6uWuWE4wNZF3rzjwo9VWJ7npJP7M",-1,"iad1",-1,-1,"🚀 [VERCEL] GET /api/rates","prj_j3QAlrxy8W73BKX1wxdpS3jpu14W","","","01K4N5D2C81C7HA7F3ABF51H8D","",-1
"2025-09-08 17:18:58",1757351938440,"obnlbnk-rho.vercel.app/api/rates","GET","",200,"z9d7b-1757351938381-25a0724e76c4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","obnlbnk-rho.vercel.app","obnlbnk-rho.vercel.app","dpl_6uWuWE4wNZF3rzjwo9VWJ7npJP7M",4,"iad1",97,2048,"","prj_j3QAlrxy8W73BKX1wxdpS3jpu14W","","","01K4N5D2C81C7HA7F3ABF51H8D","Fma8MLjfbKPC",1
"2025-09-08 17:18:58",1757351938288,"obnlbnk-rho.vercel.app/api/rates","GET","",-1,"z9d7b-1757351938211-bbd3bd9612b0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","obnlbnk-rho.vercel.app","obnlbnk-rho.vercel.app","dpl_6uWuWE4wNZF3rzjwo9VWJ7npJP7M",-1,"iad1",-1,-1,"💱 [VERCEL] Exchange rates request","prj_j3QAlrxy8W73BKX1wxdpS3jpu14W","","","01K4N5D26ZD04A4QD2EBPCAZG2","",-1
"2025-09-08 17:18:58",1757351938288,"obnlbnk-rho.vercel.app/api/rates","GET","",-1,"z9d7b-1757351938211-bbd3bd9612b0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","obnlbnk-rho.vercel.app","obnlbnk-rho.vercel.app","dpl_6uWuWE4wNZF3rzjwo9VWJ7npJP7M",-1,"iad1",-1,-1,"🚀 [VERCEL] GET /api/rates","prj_j3QAlrxy8W73BKX1wxdpS3jpu14W","","","01K4N5D26ZD04A4QD2EBPCAZG2","",-1
"2025-09-08 17:18:58",1757351938271,"obnlbnk-rho.vercel.app/api/rates","GET","",200,"z9d7b-1757351938211-bbd3bd9612b0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","obnlbnk-rho.vercel.app","obnlbnk-rho.vercel.app","dpl_6uWuWE4wNZF3rzjwo9VWJ7npJP7M",4,"iad1",97,2048,"","prj_j3QAlrxy8W73BKX1wxdpS3jpu14W","","","01K4N5D26ZD04A4QD2EBPCAZG2","Fma8MLjfbKPC",1
"2025-09-08 17:18:58",1757351938116,"obnlbnk-rho.vercel.app/api/rates","GET","",-1,"z9d7b-1757351938041-36edd7c9e068","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","obnlbnk-rho.vercel.app","obnlbnk-rho.vercel.app","dpl_6uWuWE4wNZF3rzjwo9VWJ7npJP7M",-1,"iad1",-1,-1,"💱 [VERCEL] Exchange rates request","prj_j3QAlrxy8W73BKX1wxdpS3jpu14W","","","01K4N5D21PR12NHY76Z8G72F2E","",-1
"2025-09-08 17:18:58",1757351938116,"obnlbnk-rho.vercel.app/api/rates","GET","",-1,"z9d7b-1757351938041-36edd7c9e068","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","obnlbnk-rho.vercel.app","obnlbnk-rho.vercel.app","dpl_6uWuWE4wNZF3rzjwo9VWJ7npJP7M",-1,"iad1",-1,-1,"🚀 [VERCEL] GET /api/rates","prj_j3QAlrxy8W73BKX1wxdpS3jpu14W","","","01K4N5D21PR12NHY76Z8G72F2E","",-1
